[ 2025-11-05 23:08:03,920 ] 11 Logger - INFO - creating data ingestion config files in artifacts folder
[ 2025-11-05 23:08:04,304 ] 24 Logger - INFO - Data transformation config completed
[ 2025-11-05 23:08:04,305 ] 26 Logger - INFO - Data Ingestion object created
[ 2025-11-05 23:08:04,305 ] 21 Logger - INFO - data ingestion intiated
[ 2025-11-05 23:08:04,333 ] 24 Logger - INFO - Dataset read completed as a Dataframe
[ 2025-11-05 23:08:04,348 ] 28 Logger - INFO - full dataset saved at artifacts/data.csv
[ 2025-11-05 23:08:04,368 ] 34 Logger - INFO - Train and Test data splitted and saved into corresponded .csv files
[ 2025-11-05 23:08:04,391 ] 69 Logger - INFO - Initiated data ingestion to get train and test dataset path
[ 2025-11-05 23:08:04,391 ] 29 Logger - INFO - Data transfer object creation started
[ 2025-11-05 23:08:04,443 ] 40 Logger - INFO - numerical and categorical columns list created
[ 2025-11-05 23:08:04,443 ] 59 Logger - INFO - numerical and categorical pipeline created for data transformation
[ 2025-11-05 23:08:04,582 ] 78 Logger - INFO - train and test data sucesfully loaded
[ 2025-11-05 23:08:04,597 ] 16 Logger - ERROR - Error occured in python script name [C:\Users\Rajera\Desktop\python\student_performance\src\component\data_transformation.py] line number [86] error message[A given column is not a column of the dataframe]
